Track Name,Artist Name(s),Album Name,Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Label,song_clean,artist_clean
Come See Me,Rod Wave,Nostalgia,2023-09-15,190588,True,58,,0.468,0.495,7.0,-10.671,1.0,0.167,0.717,0.0,0.11,0.171,114.227,5.0,Alamo,come see me,rod wave
SkeeYee,Sexyy Red,Hood Hottest Princess,2023-06-09,157125,True,70,,0.771,0.689,1.0,-5.022,1.0,0.0682,0.0251,0.0,0.645,0.65,82.503,4.0,Open Shift/gamma.,skeeyee,sexyy red
Keep Going Up (with Nelly Furtado & Justin Timberlake),"Timbaland, Nelly Furtado, Justin Timberlake",Keep Going Up,2023-09-01,174222,False,51,,0.817,0.642,6.0,-4.176,0.0,0.0358,0.171,3.02e-05,0.269,0.793,120.01,4.0,Def Jam Recordings,keep going up,timbaland nelly furtado  justin timberlake
get him back!,Olivia Rodrigo,GUTS,2023-09-08,211141,True,79,,0.553,0.847,5.0,-5.736,1.0,0.187,0.0143,0.0,0.561,0.733,162.024,4.0,Olivia Rodrigo PS,get him back,olivia rodrigo
all-american bitch,Olivia Rodrigo,GUTS,2023-09-08,165833,True,77,,0.421,0.695,6.0,-4.346,1.0,0.0428,0.218,2.97e-06,0.155,0.45,156.344,4.0,Olivia Rodrigo PS,allamerican bitch,olivia rodrigo
Bongos (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",Bongos (feat. Megan Thee Stallion),2023-09-08,175099,True,68,,0.726,0.747,4.0,-4.644,0.0,0.377,0.0935,0.0,0.0312,0.889,121.928,4.0,Atlantic Records,bongos,cardi b  megan thee stallion
the grudge,Olivia Rodrigo,GUTS,2023-09-08,189386,True,78,,0.511,0.313,10.0,-9.32,1.0,0.0846,0.905,0.0,0.0832,0.331,126.962,4.0,Olivia Rodrigo PS,the grudge,olivia rodrigo
making the bed,Olivia Rodrigo,GUTS,2023-09-08,198866,False,76,,0.55,0.409,7.0,-7.718,1.0,0.0316,0.386,0.0,0.122,0.252,133.099,4.0,Olivia Rodrigo PS,making the bed,olivia rodrigo
logical,Olivia Rodrigo,GUTS,2023-09-08,231907,False,73,,0.48,0.24,7.0,-8.146,1.0,0.0323,0.844,0.0,0.099,0.152,80.686,4.0,Olivia Rodrigo PS,logical,olivia rodrigo
lacy,Olivia Rodrigo,GUTS,2023-09-08,177212,False,82,,0.395,0.367,3.0,-7.653,1.0,0.0324,0.815,0.0,0.11,0.426,77.968,4.0,Olivia Rodrigo PS,lacy,olivia rodrigo
ballad of a homeschooled girl,Olivia Rodrigo,GUTS,2023-09-08,203369,False,73,,0.351,0.884,1.0,-3.452,1.0,0.074,0.0623,0.0,0.335,0.408,120.166,4.0,Olivia Rodrigo PS,ballad of a homeschooled girl,olivia rodrigo
love is embarrassing,Olivia Rodrigo,GUTS,2023-09-08,154516,True,77,,0.517,0.821,9.0,-3.504,1.0,0.105,0.00341,0.0,0.148,0.617,160.052,4.0,Olivia Rodrigo PS,love is embarrassing,olivia rodrigo
pretty isn’t pretty,Olivia Rodrigo,GUTS,2023-09-08,199422,True,75,,0.559,0.845,2.0,-4.394,1.0,0.0501,0.00243,1.46e-06,0.0726,0.566,123.941,4.0,Olivia Rodrigo PS,pretty isnt pretty,olivia rodrigo
teenage dream,Olivia Rodrigo,GUTS,2023-09-08,222358,False,74,,0.426,0.218,0.0,-11.705,1.0,0.0341,0.835,0.0,0.108,0.116,135.205,4.0,Olivia Rodrigo PS,teenage dream,olivia rodrigo
Slow Dancing,V,Layover,2023-09-08,187026,False,79,K-Pop,0.579,0.63,8.0,-7.758,1.0,0.058,0.257,0.00462,0.0986,0.552,155.96,4.0,BIGHIT MUSIC,slow dancing,v
Boyz Don't Cry,Rod Wave,Nostalgia,2023-09-14,166578,False,68,,0.739,0.502,10.0,-12.087,1.0,0.0687,0.097,0.0,0.106,0.314,152.056,4.0,Alamo,boyz dont cry,rod wave
Great Gatsby,Rod Wave,Nostalgia,2023-09-15,146751,True,71,,0.678,0.567,1.0,-8.927,0.0,0.101,0.0454,8.8e-06,0.41,0.154,156.975,4.0,Alamo,great gatsby,rod wave
greedy,Tate McRae,greedy,2023-09-15,131872,True,90,,0.749,0.729,6.0,-3.19,0.0,0.0321,0.261,0.0,0.113,0.816,111.004,1.0,RCA Records Label,greedy,tate mcrae
Long Journey,Rod Wave,Nostalgia,2023-09-15,185830,True,62,,0.667,0.572,1.0,-10.655,0.0,0.138,0.0584,0.0,0.0842,0.411,93.023,4.0,Alamo,long journey,rod wave
Nostalgia,"Rod Wave, Wet",Nostalgia,2023-09-15,163935,True,60,,0.47,0.684,7.0,-6.862,1.0,0.159,0.859,2.78e-05,0.113,0.677,81.076,4.0,Alamo,nostalgia,rod wave  wet
Crazy,Rod Wave,Nostalgia,2023-09-15,130434,True,55,,0.61,0.459,5.0,-11.004,0.0,0.114,0.0563,0.0,0.114,0.177,80.705,4.0,Alamo,crazy,rod wave
HG4,Rod Wave,Nostalgia,2023-09-15,120832,True,61,,0.64,0.667,2.0,-7.646,1.0,0.0854,0.212,0.0,0.11,0.187,87.495,4.0,Alamo,hg4,rod wave
Checkmate,Rod Wave,Nostalgia,2023-09-15,197979,True,56,,0.723,0.617,5.0,-8.248,1.0,0.0931,0.163,0.0,0.175,0.435,82.515,4.0,Alamo,checkmate,rod wave
Love For A Thug,Rod Wave,Nostalgia,2023-09-15,184006,True,56,,0.653,0.512,8.0,-13.149,0.0,0.0982,0.0276,0.0,0.106,0.283,83.476,4.0,Alamo,love for a thug,rod wave
2018,"Rod Wave, Sadie Jean",Nostalgia,2023-09-15,194063,True,63,,0.348,0.45,1.0,-13.126,1.0,0.451,0.658,3.47e-06,0.102,0.497,178.65,4.0,Alamo,2018,rod wave  sadie jean
